iter,result
1,-0.000001067733199924814
11,0.006900719862690766
21,0.00929580621797417
31,0.010408730465374716
41,0.011132135782544877
51,0.011657529641546302
61,0.012071717902243526
71,0.0124236797615669
81,0.012696489622496782
91,0.012904371750246044
101,0.01308175308182885
201,0.014197294661559723
301,0.01465677465563571
401,0.014884553853216326
501,0.015108291177996197
601,0.015250171171395044
701,0.01539312850507453
801,0.015421689571796654
901,0.015490590099126483
1001,0.01555999624149193
2001,0.0159147034326768
3001,0.01589218503479918
4001,0.0159051791657865
5001,0.01594173249987965
6001,0.015879678633032163
7001,0.01589545463588013
8001,0.015953093565031745
9001,0.015945726898142443
10001,0.015922037032133365
11001,0.015862777832995
12001,0.015862075433581396
13001,0.015922330094738688
14001,0.015943001563614265
15001,0.015938455162471554
16001,0.015949741298418724
17001,0.015946040495964417
18001,0.015947354360623833
19001,0.01592487730045028
20001,0.01592399010079186
21001,0.015968832502703603
22001,0.015894542364942893
23001,0.01590674743126512
24001,0.01594299916091685
27001,0.015976762362675187
30001,0.01594061650226465
33001,0.01593773649744676
36001,0.01587017089925319
39001,0.015920240768288074
42001,0.015906529301314754
45001,0.01596639249863349
48001,0.015929412766858983
51001,0.01588637889886982
54001,0.016032349560615153
57001,0.01596235836346492
60001,0.015940417298829196
