iter,result
1,-0.000001067733199924814
2,0.0001088965314733209
3,0.0016616831641157875
4,0.00253500128073908
5,0.0035410788612692395
6,0.004252298580698449
16,0.008345411836020014
26,0.009938444070595145
36,0.010804390455190285
46,0.011403991511961406
56,0.011872081906632956
66,0.012257250431690486
76,0.012581634425926122
86,0.012796818420974562
96,0.012999000018972778
106,0.01316047228416467
206,0.01424398719645624
306,0.01467910825121431
406,0.014885871718392688
506,0.01512631810973436
606,0.015269167705525527
706,0.015397191169539123
806,0.015418671170018092
906,0.015477396506110533
1006,0.015563868498706099
1106,0.01561630663517237
2106,0.01591999276586495
3106,0.015870703966374383
4106,0.01591225996411444
5106,0.015925235696193057
6106,0.01590991863034394
7106,0.015892869831412818
8106,0.0158827199675199
9106,0.01592346582867718
10000,0.015923581032185927
