iter,result
1,-0.000001067733199924814
11,0.3212057313772599
21,0.42953309021105873
31,0.4906660385182624
41,0.5352846282589566
51,0.5707677928831238
61,0.5993797940308646
71,0.6228785708546802
81,0.6426416972434157
91,0.6598148087456177
101,0.6751405571698583
201,0.7601973497744322
301,0.7972266814662449
401,0.8181823412364083
501,0.8339166212530608
601,0.8461188172048852
701,0.8566508760585125
801,0.8649091855373433
901,0.8713373534732384
1001,0.8776394587329185
2001,0.9049169133327761
3001,0.9154758943518813
4001,0.9256285030117946
5001,0.93031890139967
6001,0.9324074681970578
7001,0.9346190999259046
8001,0.936747358951082
9001,0.9377241156604592
10001,0.9381551685167091
11001,0.9395968662704511
12001,0.940531989629825
13001,0.9414177580834309
14001,0.9424787104565565
15001,0.9425220869747725
16001,0.9428451038663324
17001,0.9434222564418157
18001,0.9441462640447473
19001,0.9437232958334629
20001,0.9428999657165776
21001,0.9435987748880323
22001,0.9439943168708685
23001,0.9439621292299449
24001,0.9440385011407753
27001,0.9441080716559378
30001,0.9454275178643001
33001,0.9461172373074818
36001,0.9476700791245632
39001,0.9488337319326818
42001,0.9495356653490319
45001,0.9526378292298185
48001,0.9552518318215806
51001,0.9571369801017741
54001,0.9568692761071511
57001,0.9565275483027738
60001,0.9557888205411785
