iter,result
1,-0.000001067733199924814
11,0.030270303690728417
21,0.07740015437693933
31,0.1206013085045717
41,0.15575219554942857
51,0.18389569260908548
61,0.20647465074990645
71,0.22511427039722406
81,0.24062621965165912
91,0.25341586258179966
101,0.2645665783854949
201,0.3248495437329298
301,0.34808877464595167
401,0.36453448614125433
501,0.3735951011078679
601,0.38136564706731485
701,0.38626890298733735
801,0.38986938368278684
901,0.39570796680867204
1001,0.40002660546855173
2001,0.41782634546684816
3001,0.4258274933892419
4001,0.42715859354006236
5001,0.4326598369507358
6001,0.43339040052841
7001,0.4328024456259223
8001,0.43670676620880694
9001,0.43584619647616024
10001,0.43363969820514775
11001,0.4367052917411143
12001,0.4404962868643613
13001,0.4373951519655587
14001,0.4445773217240624
15001,0.4478223893299908
16001,0.4461159794981877
17001,0.4401219923491829
18001,0.4429033931391999
19001,0.44562260427914246
20001,0.4437743274717995
21001,0.44209024143324527
22001,0.44547276087537896
23001,0.44346389895112714
24001,0.4425304775261259
27001,0.4416153041895396
30001,0.4464415014481264
33001,0.4399210972452772
36001,0.4429206814752291
39001,0.44551168556571424
42001,0.4485710146218545
45001,0.44613444727516227
48001,0.4491878859002406
51001,0.45108578880045785
54001,0.4532244723484459
57001,0.44760192079967487
60001,0.4458695727361977
