iter,result
1,-0.000001067733199924814
2,0.0012164901079710078
3,0.003955138055935323
4,0.008954816899434018
5,0.017705541002916866
6,0.031233792501516255
16,0.31113084624318477
26,0.42346359409788464
36,0.48580312085698163
46,0.5298139203193626
56,0.5631565684783141
66,0.5896748067855876
76,0.6114416386001712
86,0.6294815753940416
96,0.6447248293694753
106,0.6578581736356233
206,0.7331038970972505
306,0.7653190420770305
406,0.7852907248515489
506,0.8004403591860986
606,0.8125546892877562
706,0.8208050717932703
806,0.826747620913878
906,0.8322496178905338
1006,0.8373165779890275
1106,0.8406176455018098
2106,0.86148153015369
3106,0.8702182481818563
4106,0.8752198303238774
5106,0.8820723743355585
6106,0.8848452330232075
7106,0.8863147056312826
8106,0.8865434640650617
9106,0.8882471709018119
10000,0.8905598211694379
